0.000,0.000,0.000,-2.000,2.356,1.885,-0.822
0.020,0.047,0.038,-1.976,2.355,1.881,-0.822
0.040,0.094,0.075,-1.953,2.352,1.870,-0.824
0.060,0.141,0.112,-1.929,2.346,1.852,-0.827
0.080,0.188,0.149,-1.906,2.338,1.826,-0.831
0.100,0.235,0.185,-1.883,2.327,1.793,-0.836
0.120,0.281,0.221,-1.859,2.314,1.753,-0.843
0.140,0.327,0.255,-1.836,2.299,1.706,-0.850
0.160,0.373,0.289,-1.813,2.282,1.652,-0.859
0.180,0.418,0.321,-1.791,2.263,1.592,-0.869
0.200,0.464,0.353,-1.768,2.241,1.525,-0.880
0.220,0.508,0.382,-1.746,2.217,1.452,-0.892
0.240,0.552,0.411,-1.724,2.191,1.374,-0.905
0.260,0.596,0.437,-1.702,2.162,1.290,-0.919
0.280,0.639,0.462,-1.681,2.132,1.202,-0.934
0.300,0.681,0.485,-1.660,2.099,1.108,-0.950
0.320,0.723,0.507,-1.639,2.065,1.010,-0.968
0.340,0.764,0.526,-1.618,2.028,0.908,-0.986
0.360,0.804,0.543,-1.598,1.989,0.803,-1.005
0.380,0.843,0.558,-1.578,1.949,0.694,-1.026
0.400,0.882,0.571,-1.559,1.906,0.582,-1.047
0.420,0.919,0.581,-1.540,1.862,0.469,-1.069
0.440,0.956,0.589,-1.522,1.815,0.353,-1.092
0.460,0.992,0.595,-1.504,1.767,0.236,-1.116
0.480,1.027,0.599,-1.487,1.718,0.118,-1.141
0.500,1.061,0.600,-1.470,1.666,-0.000,-1.167
0.520,1.093,0.599,-1.453,1.613,-0.118,-1.194
0.540,1.125,0.595,-1.437,1.558,-0.236,-1.221
0.560,1.156,0.589,-1.422,1.502,-0.353,-1.249
0.580,1.185,0.581,-1.407,1.444,-0.469,-1.278
0.600,1.214,0.571,-1.393,1.385,-0.582,-1.308
0.620,1.241,0.558,-1.380,1.324,-0.694,-1.338
0.640,1.266,0.543,-1.367,1.263,-0.803,-1.369
0.660,1.291,0.526,-1.354,1.199,-0.908,-1.400
0.680,1.314,0.507,-1.343,1.135,-1.010,-1.432
0.700,1.337,0.485,-1.332,1.070,-1.108,-1.465
0.720,1.357,0.462,-1.321,1.003,-1.202,-1.498
0.740,1.377,0.437,-1.312,0.936,-1.290,-1.532
0.760,1.395,0.411,-1.303,0.867,-1.374,-1.566
0.780,1.411,0.382,-1.294,0.798,-1.452,-1.601
0.800,1.427,0.353,-1.287,0.728,-1.525,-1.636
0.820,1.440,0.321,-1.280,0.657,-1.592,-1.671
0.840,1.453,0.289,-1.274,0.586,-1.652,-1.707
0.860,1.464,0.255,-1.268,0.514,-1.706,-1.743
0.880,1.473,0.221,-1.263,0.442,-1.753,-1.779
0.900,1.482,0.185,-1.259,0.369,-1.793,-1.816
0.920,1.488,0.149,-1.256,0.295,-1.826,-1.852
0.940,1.493,0.112,-1.253,0.222,-1.852,-1.889
0.960,1.497,0.075,-1.251,0.148,-1.870,-1.926
0.980,1.499,0.038,-1.250,0.074,-1.881,-1.963
1.000,1.500,-0.000,-1.250,-0.000,-1.885,-2.000
1.020,1.499,-0.038,-1.250,-0.074,-1.881,-2.037
1.040,1.497,-0.075,-1.251,-0.148,-1.870,-2.074
1.060,1.493,-0.112,-1.253,-0.222,-1.852,-2.111
1.080,1.488,-0.149,-1.256,-0.295,-1.826,-2.148
1.100,1.482,-0.185,-1.259,-0.369,-1.793,-2.184
1.120,1.473,-0.221,-1.263,-0.442,-1.753,-2.221
1.140,1.464,-0.255,-1.268,-0.514,-1.706,-2.257
1.160,1.453,-0.289,-1.274,-0.586,-1.652,-2.293
1.180,1.440,-0.321,-1.280,-0.657,-1.592,-2.329
1.200,1.427,-0.353,-1.287,-0.728,-1.525,-2.364
1.220,1.411,-0.382,-1.294,-0.798,-1.452,-2.399
1.240,1.395,-0.411,-1.303,-0.867,-1.374,-2.434
1.260,1.377,-0.437,-1.312,-0.936,-1.290,-2.468
1.280,1.357,-0.462,-1.321,-1.003,-1.202,-2.502
1.300,1.337,-0.485,-1.332,-1.070,-1.108,-2.535
1.320,1.314,-0.507,-1.343,-1.135,-1.010,-2.568
1.340,1.291,-0.526,-1.354,-1.199,-0.908,-2.600
1.360,1.266,-0.543,-1.367,-1.263,-0.803,-2.631
1.380,1.241,-0.558,-1.380,-1.324,-0.694,-2.662
1.400,1.214,-0.571,-1.393,-1.385,-0.582,-2.692
1.420,1.185,-0.581,-1.407,-1.444,-0.469,-2.722
1.440,1.156,-0.589,-1.422,-1.502,-0.353,-2.751
1.460,1.125,-0.595,-1.437,-1.558,-0.236,-2.779
1.480,1.093,-0.599,-1.453,-1.613,-0.118,-2.806
1.500,1.061,-0.600,-1.470,-1.666,0.000,-2.833
1.520,1.027,-0.599,-1.487,-1.718,0.118,-2.859
1.540,0.992,-0.595,-1.504,-1.767,0.236,-2.884
1.560,0.956,-0.589,-1.522,-1.815,0.353,-2.908
